Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_mode,in_sl_atr_factor_from_entry,in_sl_padding_atr_factor,in_trailing_stop_atr_factor,in_enable_spread_filter,in_max_spread_points,in_enable_session_filter,in_session_start_hour,in_session_end_hour,in_enable_fifty_buffer,in_fifty_buffer,in_after_tp1_mode,in_trailing_stop_atr_factor_after_tp1,in_be_offset_points,in_symbol_preset,in_enable_plan_c,in_enable_plan_d,in_plan_d_low_vol_ratio,in_plan_d_high_vol_ratio,in_plan_d_buffer_lowvol,in_plan_d_buffer_highvol
4224,2449.53,1949.53,10.425294,2.03662,2.466635,6.930846,0,32.5907,187,10,94,0.3,1,2.6,0.2,3.7,false,23,false,14,21,false,0.54,2,3.8,0,2,false,false,0.828,0.85,0.05,0.05
4459,2759.54,2259.54,14.577677,1.945141,1.507818,4.782123,0,35.193,155,15,106,0.3,0,3,0.5,3.1,false,25,false,3,23,false,0.54,2,3.8,0,2,false,false,0.252,1.975,0.03,0.05
4627,2908.88,2408.88,15.541161,2.074745,1.662592,5.005407,0,33.2481,155,15,106,0.3,0,2.7,0.2,3.7,false,29,false,17,21,false,0.54,2,3.8,0,2,false,false,1.02,2.475,0.03,0.08
5265,2908.88,2408.88,15.541161,2.074745,1.662592,5.005407,0,33.2481,155,15,106,0.3,0,2.7,0.2,3.7,false,29,false,8,15,false,0.54,2,3.8,0,2,false,false,0.252,1.975,0.03,0.05
5380,2908.88,2408.88,15.541161,2.074745,1.662592,5.005407,0,33.2481,155,15,106,0.3,0,2.6,0.2,3.7,false,29,false,8,15,false,0.54,2,3.8,0,2,false,false,0.444,1.4,0.05,0.08
5572,2908.88,2408.88,15.541161,2.074745,1.662592,5.005407,0,33.2481,155,15,106,0.3,0,2.5,0.2,3.7,false,31,false,7,15,false,0.54,2,3.8,0,2,false,false,0.828,0.775,0.02,0.06
5768,3110.42,2610.42,48.341111,4.946153,4.044404,8.532673,0,38.9021,54,20,106,0.3,0,2.6,0.2,3.7,false,29,true,8,15,false,0.54,2,3.8,0,2,false,false,0.444,2.125,0.02,0.09
6086,2449.53,1949.53,10.425294,2.03662,2.466635,6.930846,0,32.5907,187,10,94,0.3,1,2.6,0.2,3.7,false,23,false,10,21,false,0.54,2,3.8,0,2,false,false,0.252,1.975,0.03,0.05
6326,2449.53,1949.53,10.425294,2.03662,2.466635,6.930846,0,32.5907,187,10,94,0.3,1,2.6,0.2,3.7,false,23,false,18,21,false,0.54,2,3.8,0,2,false,false,0.636,2.275,0.02,0.06
6558,2449.53,1949.53,10.425294,2.03662,2.466635,6.930846,0,32.5907,187,10,94,0.3,1,2.6,0.2,3.2,false,37,false,3,23,false,0.54,0,2.1,1,2,false,false,0.492,2.325,0.04,0.08
