Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,in_allow_single_entry,in_anchor_tf,in_swing_bars,in_fvg_min_atr_factor,in_sl_mode,in_sl_atr_factor_from_entry,in_sl_padding_atr_factor,in_trailing_stop_atr_factor
1979,68.27,195.99,1.187818,2.555353,1.628365,8.431354,0,17.4255,165,true,5,116,1,1,1.6,0.3,3.6
3218,99.88,195.97,1.555317,3.601141,4.948737,19.37532,0,6.8683,126,true,5,110,1,1,2.6,0.2,2.5
3985,99.92,195.93,1.518837,3.402281,5.497475,19.58905,0,6.1061,129,true,5,108,1,1,2.6,0.8,2.6
3425,99.88,195.93,1.555,3.559838,4.947727,19.337621,0,6.8822,126,true,5,110,1,1,2.6,0.3,2.1
3854,99.92,195.87,1.518372,3.401545,5.495791,19.583292,0,6.1061,129,true,5,108,1,1,2.6,0.8,2.7
3129,99.88,195.84,1.554286,3.555657,4.945455,19.287302,0,6.8837,126,true,5,110,1,1,2.8,0.2,2.1
2636,99.88,195.81,1.554048,3.55827,4.944697,19.326069,0,6.8822,126,true,5,110,1,1,2.6,0.3,2.2
1886,94.76,195.79,0.97408,2.06919,2.432778,9.853058,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,1.7
3465,99.88,195.79,1.553889,3.46649,4.944192,19.252142,0,6.9153,126,true,5,110,1,1,2.6,0.5,1.5
3430,99.92,195.76,1.517519,3.448837,5.492705,19.618217,0,6.0896,129,true,5,108,1,1,2.6,0.7,3.3
3753,99.88,195.72,1.553333,3.554091,4.942424,19.275775,0,6.8837,126,true,5,110,1,1,2.8,0.2,2.2
3743,99.92,195.67,1.516822,3.31617,5.49018,19.475684,0,6.1355,129,true,5,108,1,1,2.6,1,1.8
3714,99.88,195.62,1.55254,3.507306,4.939899,19.249393,0,6.8994,126,true,5,110,1,1,2.6,0.4,1.9
3127,99.63,195.57,1.171078,2.598186,3.992854,14.399193,0,9.2049,167,true,5,106,0.9,1,2.8,0.4,2.4
2673,99.23,195.49,1.269416,2.733836,3.26961,12.559397,0,11.2075,154,true,5,110,0.9,1,3.8,0.4,2.2
3745,99.92,195.41,1.514806,3.341922,5.482884,19.486579,0,6.1254,129,true,5,108,1,1,2.6,0.9,2.1
3376,99.88,195.38,1.550635,3.552652,4.933838,19.287316,0,6.8822,126,true,5,110,1,1,2.6,0.3,2.3
3773,99.92,195.37,1.514496,3.341443,5.481762,19.482749,0,6.1254,129,true,5,108,1,1,2.6,0.9,2.2
2978,99.88,195.36,1.550476,3.461073,4.933333,19.213081,0,6.9153,126,true,5,110,1,1,2.6,0.5,1.6
4180,99.92,195.32,1.514109,3.312027,5.480359,19.44618,0,6.1355,129,true,5,108,1,1,2.6,1,1.9
3659,99.88,195.29,1.549921,3.54848,4.931566,19.237103,0,6.8837,126,true,5,110,1,1,2.8,0.2,2.3
3921,99.92,195.25,1.513566,3.393943,5.478395,19.524395,0,6.1061,129,true,5,108,1,1,2.6,0.8,2.8
2983,99.88,195.25,1.549603,3.461859,4.930556,19.135128,0,6.915,126,true,5,110,1,1,2.8,0.4,1.7
3137,99.88,195.25,1.549603,3.502563,4.930556,19.216957,0,6.8994,126,true,5,110,1,1,2.6,0.4,2
3102,99.88,195.2,1.549206,3.5503,4.929293,19.26781,0,6.8822,126,true,5,110,1,1,2.6,0.3,2.4
3494,99.92,195.19,1.513101,3.393207,5.476712,19.51863,0,6.1061,129,true,5,108,1,1,2.6,0.8,2.9
3608,99.88,195.18,1.549048,3.458806,4.928788,19.193679,0,6.9153,126,true,5,110,1,1,2.6,0.5,1.7
3779,99.92,195.12,1.512558,3.440831,5.474747,19.545688,0,6.0896,129,true,5,108,1,1,2.6,0.7,3.5
2879,99.88,195.11,1.548492,3.589727,4.92702,19.29469,0,6.8683,126,true,5,110,1,1,2.6,0.2,2.7
3715,99.88,195.11,1.548492,3.546131,4.92702,19.21765,0,6.8837,126,true,5,110,1,1,2.8,0.2,2.4
3805,99.92,195.04,1.511938,3.337488,5.472503,19.453228,0,6.1254,129,true,5,108,1,1,2.6,0.9,2.3
4077,99.92,195.01,1.511705,3.308357,5.471661,19.419028,0,6.1355,129,true,5,108,1,1,2.6,1,2
3424,99.92,194.9,1.510853,3.35985,5.468575,19.413509,0,6.1169,129,true,5,108,1,1,2.8,0.8,2.6
3658,99.92,194.88,1.510698,3.389407,5.468013,19.490119,0,6.1061,129,true,5,108,1,1,2.6,0.8,3
3930,95.24,194.75,1.058424,2.141626,2.386057,8.666787,0,14.5348,184,true,5,110,0.8,0,3.4,0.6,2.9
3162,99.88,194.64,1.544762,3.500835,4.915152,19.141482,0,6.8976,126,true,5,110,1,1,2.8,0.3,2.1
3476,99.88,194.52,1.54381,3.499293,4.912121,19.12997,0,6.8976,126,true,5,110,1,1,2.8,0.3,2.2
3823,99.92,194.5,1.507752,3.433075,5.457351,19.488947,0,6.0896,129,true,5,108,1,1,2.6,0.7,3.6
3049,99.88,194.45,1.543254,3.49231,4.910354,19.14377,0,6.8994,126,true,5,110,1,1,2.6,0.4,2.1
3467,99.92,194.44,1.507287,3.432324,5.455668,19.48315,0,6.0896,129,true,5,108,1,1,2.6,0.7,3.7
3912,95.35,194.4,1.056522,2.136111,2.415507,8.683617,0,14.5268,184,true,5,110,0.8,0,2.6,0.5,2
3532,99.88,194.37,1.542619,3.579904,4.908333,19.225078,0,6.8683,126,true,5,110,1,1,2.6,0.2,2.8
3003,99.88,194.33,1.542302,3.490772,4.907323,19.132247,0,6.8994,126,true,5,110,1,1,2.6,0.4,2.2
3880,99.88,194.19,1.54119,3.577515,4.903788,19.207675,0,6.8683,126,true,5,110,1,1,2.6,0.2,2.9
4027,99.92,194.16,1.505116,3.35089,5.447811,19.343359,0,6.1169,129,true,5,108,1,1,2.8,0.8,2.9
2951,99.88,194.09,1.540397,3.493768,4.901263,19.09134,0,6.8976,126,true,5,110,1,1,2.8,0.3,2.3
3607,99.88,194.09,1.540397,3.535798,4.901263,19.165767,0,6.8822,126,true,5,110,1,1,2.6,0.3,2.6
3250,99.88,194.07,1.540238,3.405727,4.900758,19.017741,0,6.931,126,true,5,110,1,1,2.8,0.5,1.6
3733,99.92,194.05,1.504264,3.325623,5.444725,19.359229,0,6.1254,129,true,5,108,1,1,2.6,0.9,2.6
1539,94.62,194.04,0.965373,2.059633,2.411034,9.777091,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,2.1
3878,99.92,194,1.503876,3.296402,5.443322,19.326778,0,6.1355,129,true,5,108,1,1,2.6,1,2.3
3754,99.88,194,1.539683,3.531646,4.89899,19.115833,0,6.8837,126,true,5,110,1,1,2.8,0.2,2.6
4071,99.92,193.99,1.503798,3.324904,5.443042,19.353482,0,6.1254,129,true,5,108,1,1,2.6,0.9,2.7
2906,99.88,193.96,1.539365,3.445593,4.89798,19.021594,0,6.915,126,true,5,110,1,1,2.8,0.4,2
4158,96.3,193.95,1.031649,2.168866,2.509056,8.86982,0,13.8354,188,true,5,110,0.8,0,3.2,0.3,3.6
4129,96.3,193.95,1.031649,2.168866,2.509056,8.86982,0,13.8354,188,true,5,110,0.8,0,1.6,0.3,3.6
3613,96.3,193.95,1.031649,2.168866,2.509056,8.86982,0,13.8354,188,true,5,110,0.8,0,2.6,0.3,3.6
4043,99.92,193.94,1.503411,3.295691,5.441639,19.318764,0,6.1355,129,true,5,108,1,1,2.6,1,2.4
2814,99.56,193.94,1.212125,2.687168,3.888911,14.019715,0,9.3316,160,true,5,110,0.9,1,2.8,0.4,2.7
3765,99.88,193.91,1.538968,3.533447,4.896717,19.148438,0,6.8822,126,true,5,110,1,1,2.6,0.3,2.7
3626,99.88,193.91,1.538968,3.491456,4.896717,19.071928,0,6.8976,126,true,5,110,1,1,2.8,0.3,2.4
3323,99.88,193.9,1.538889,3.48526,4.896465,19.093573,0,6.8994,126,true,5,110,1,1,2.6,0.4,2.3
3741,99.88,193.82,1.538254,3.529297,4.894444,19.09854,0,6.8837,126,true,5,110,1,1,2.8,0.2,2.7
3718,99.58,193.74,1.210875,2.709672,3.923451,14.059903,0,9.2203,160,true,5,110,0.9,1,2.6,0.4,3
3331,99.88,193.72,1.53746,3.482953,4.891919,19.074136,0,6.8994,126,true,5,110,1,1,2.6,0.4,2.4
2574,94.59,193.69,0.963632,2.057722,2.406685,9.761678,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,2.4
2378,94.59,193.69,0.963632,2.057722,2.406685,9.761678,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,2.3
4085,96,193.67,1.046865,2.160465,2.463995,8.741297,0,14.048,185,true,5,110,0.8,0,2.6,0.4,3.5
4194,99.92,193.62,1.50093,3.292175,5.43266,19.240807,0,6.1363,129,true,5,108,1,1,2.8,0.9,2.5
4128,96.28,193.6,1.029787,2.166757,2.504528,8.854196,0,13.8354,188,true,5,110,0.8,0,2.6,0.3,3.7
2074,95.27,193.39,1.051033,2.130209,2.402957,8.64283,0,14.5268,184,true,5,110,0.8,0,1.6,0.5,2.1
3810,99.92,193.37,1.498992,3.317474,5.425645,19.294709,0,6.1254,129,true,5,108,1,1,2.6,0.9,2.8
2414,94.56,193.34,0.961891,2.05581,2.402336,9.74621,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,2.5
2623,99.88,193.29,1.534048,3.477442,4.881061,19.035366,0,6.8994,126,true,5,110,1,1,2.6,0.4,2.5
3565,99.88,193.17,1.533095,3.523778,4.87803,19.078923,0,6.8822,126,true,5,110,1,1,2.6,0.3,2.8
2629,99.88,193.16,1.533016,3.435506,4.877778,18.94866,0,6.915,126,true,5,110,1,1,2.8,0.4,2.1
3204,99.88,193.09,1.53246,3.432477,4.87601,19.00653,0,6.9153,126,true,5,110,1,1,2.6,0.5,2.1
3580,99.88,193.08,1.532381,3.51964,4.875758,19.029183,0,6.8837,126,true,5,110,1,1,2.8,0.2,2.8
3078,99.65,193.05,1.155988,2.612917,4.011845,14.27275,0,9.0209,167,true,5,106,0.9,1,2.8,0.3,3.6
3434,99.88,193.04,1.532063,3.433993,4.874747,18.937177,0,6.915,126,true,5,110,1,1,2.8,0.4,2.2
3750,99.92,193.01,1.496202,3.284683,5.415544,19.232887,0,6.1355,129,true,5,108,1,1,2.6,1,2.6
4097,99.92,193,1.496124,3.313039,5.415264,19.260496,0,6.1254,129,true,5,108,1,1,2.6,0.9,3
4139,99.88,192.99,1.531667,3.521427,4.873485,19.061544,0,6.8822,126,true,5,110,1,1,2.6,0.3,2.9
3230,99.92,192.96,1.495814,3.31256,5.414141,19.254394,0,6.1254,129,true,5,108,1,1,2.6,0.9,3.1
3843,99.92,192.95,1.495736,3.283973,5.413861,19.227146,0,6.1355,129,true,5,108,1,1,2.6,1,2.7
3994,99.92,192.82,1.494729,3.364149,5.410213,19.284131,0,6.1061,129,true,5,108,1,1,2.6,0.8,3.7
3418,99.92,192.78,1.494419,3.363659,5.409091,19.27803,0,6.1061,129,true,5,108,1,1,2.6,0.8,3.8
4110,99.88,192.72,1.529524,3.558004,4.866667,19.06859,0,6.8683,126,true,5,110,1,1,2.6,0.2,3.3
2683,94.49,192.64,0.958408,2.051988,2.393638,9.715109,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,2.6
2639,94.49,192.64,0.958408,2.051988,2.393638,9.715109,0,14.7221,201,true,5,104,0.8,0,3.2,0.5,2.7
2657,99.88,192.62,1.52873,3.474881,4.864141,18.952969,0,6.8976,126,true,5,110,1,1,2.8,0.3,2.7
3367,99.88,192.61,1.528651,3.428571,4.863889,18.898626,0,6.915,126,true,5,110,1,1,2.8,0.4,2.3
3229,99.88,192.61,1.528651,3.468726,4.863889,18.972327,0,6.8994,126,true,5,110,1,1,2.6,0.4,2.6
3243,99.88,192.54,1.528095,3.342336,4.862121,18.866863,0,6.9483,126,true,5,110,1,1,2.6,0.7,1.6
2774,99.88,192.54,1.528095,3.425548,4.862121,18.956314,0,6.9153,126,true,5,110,1,1,2.6,0.5,2.3
2817,99.29,192.53,1.218544,2.598423,3.374759,13.779929,0,10.6923,158,true,5,110,0.9,1,2.8,0.7,1.5
3233,99.88,192.5,1.527778,3.515025,4.861111,19.013931,0,6.8822,126,true,5,110,1,1,2.6,0.3,3.1
3862,99.92,192.45,1.49186,3.359613,5.399832,19.245226,0,6.1061,129,true,5,108,1,1,2.6,0.8,3.9
3536,95.19,192.43,1.045815,2.124598,2.391029,8.60273,0,14.5268,184,true,5,110,0.8,0,2.6,0.5,2.3
2902,99.56,192.4,1.210063,2.42213,3.71142,13.145541,0,10.0864,159,true,5,100,0.9,0,2.2,1,2
3240,99.88,192.39,1.526905,3.341365,4.858333,18.820349,0,6.9485,126,true,5,110,1,1,2.8,0.6,1.7
2229,99.88,192.36,1.526667,3.340146,4.857576,18.847563,0,6.9483,126,true,5,110,1,1,2.6,0.7,1.7
4080,99.92,192.33,1.49093,3.276634,5.396465,19.168439,0,6.1355,129,true,5,108,1,1,2.6,1,2.8
3953,99.92,192.27,1.490465,3.275923,5.394781,19.162692,0,6.1355,129,true,5,108,1,1,2.6,1,2.9
4230,95.16,192.18,1.044457,2.123137,2.387922,8.591969,0,14.5268,184,true,5,110,0.8,0,1.6,0.5,2.4
2471,99.05,192.18,1.055934,2.298426,3.206206,14.064114,0,11.5074,182,true,5,102,0.9,1,2.8,0.7,1.5
3766,95.88,192.08,1.03827,2.150938,2.443766,8.669953,0,14.048,185,true,5,110,0.8,0,2.6,0.4,3.8
3432,99.88,192,1.52381,3.42088,4.848485,18.840636,0,6.915,126,true,5,110,1,1,2.8,0.4,2.5
4119,99.92,191.96,1.488062,3.272254,5.386083,19.134259,0,6.1355,129,true,5,108,1,1,2.6,1,3
2533,94.43,191.94,0.954925,2.048165,2.38494,9.68379,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,2.9
2377,94.43,191.94,0.954925,2.048165,2.38494,9.68379,0,14.7221,201,true,5,104,0.8,0,1.6,0.5,2.8
3747,99.88,191.93,1.523254,3.417863,4.846717,18.898104,0,6.9153,126,true,5,110,1,1,2.6,0.5,2.5
4162,99.92,191.92,1.487752,3.27178,5.384961,19.128177,0,6.1355,129,true,5,108,1,1,2.6,1,3.1
2881,99.56,191.81,1.206352,2.417769,3.700039,13.109913,0,10.0864,159,true,5,100,0.9,0,2.2,1,2.1
3205,99.88,191.8,1.522222,3.377588,4.843434,18.811895,0,6.931,126,true,5,110,1,1,2.8,0.5,2.1
3558,99.88,191.7,1.521429,3.504573,4.840909,18.940018,0,6.8822,126,true,5,110,1,1,2.6,0.3,3.2
3414,99.88,191.7,1.521429,3.463061,4.840909,18.86639,0,6.8976,126,true,5,110,1,1,2.8,0.3,2.9
3146,99.88,191.69,1.521349,3.456934,4.840657,18.885698,0,6.8994,126,true,5,110,1,1,2.6,0.4,2.8
2890,99.59,191.6,1.1975,2.700541,3.948887,13.88817,0,9.0649,160,true,5,110,0.9,1,2.8,0.3,3.5
3470,99.88,191.51,1.519921,3.454627,4.836111,18.868361,0,6.8994,126,true,5,110,1,1,2.6,0.4,2.9
3275,99.88,191.44,1.519365,3.328954,4.834343,18.766276,0,6.9483,126,true,5,110,1,1,2.6,0.7,1.9
3426,99.88,191.43,1.519286,3.498108,4.834091,18.873251,0,6.8837,126,true,5,110,1,1,2.8,0.2,3.3
2977,99.88,191.32,1.518413,3.412306,4.831313,18.777825,0,6.915,126,true,5,110,1,1,2.8,0.4,2.6
