PresetID,Symbol,ProfitFactor,NetProfit,TotalTrades,WinRate,AvgWin,AvgLoss,LargestWin,LargestLoss,Expectancy,MaxDD,TP1_R,TP2_R,TrailMode,UsePyramid,RiskPerTradePct,Tag,Source
34,XAUUSD,6.26,222.64,25,80,13.25,-8.46,,,,,,,1,0,0.5,,user_best_Q3
24,XAUUSD,7.86,222.39,28,85.7,10.62,-8.1,,,,,,,0,0,0.5,,user_best_Q3
31,XAUUSD,6.23,218.56,16,75,21.7,-10.45,,,,,,,2,0,0.5,,user_best_Q3
18,XAUUSD,6.13,217.27,30,86.7,9.99,-10.58,,,,,,,0,0,0.5,,user_best_Q3
15,XAUUSD,7.56,206.59,26,88.5,10.35,-10.5,,,,,,,0,0,0.5,,user_best_Q3
16,XAUUSD,7.56,206.59,26,88.5,10.35,-10.5,,,,,,,0,0,0.5,,user_best_Q3
2,XAUUSD,7.67,205.24,26,88.5,10.26,-10.26,,,,,,,0,0,0.5,,user_best_Q3
3,XAUUSD,7.67,205.24,26,88.5,10.26,-10.26,,,,,,,0,0,0.5,,user_best_Q3
33,XAUUSD,5.83,201.84,22,81.8,13.54,-10.45,,,,,,,1,0,0.5,,user_best_Q3
19,XAUUSD,7.19,194.98,27,88.9,9.44,-10.5,,,,,,,0,0,0.5,,user_best_Q3
32,XAUUSD,5.26,181.14,15,66.7,22.37,-8.5,,,,,,,1,0,0.5,,user_best_Q3
1759,USDJPY,3.64,155.18,27,88.9,8.91,-19.56,,,,,,,0,0,0.45,,user_best_Q3
275,XAUUSD,19.31,147.78,22,86.4,8.2,-2.69,,,,,,,0,0,0.4,,user_best_Q3
20,XAUUSD,6.95,146.37,26,88.5,7.43,-8.2,,,,,,,0,0,0.4,,user_best_Q3
12291,XAUUSD,1.74,139.69,38,52.6,16.39,-10.45,77.77,-30.64,,,3,6,1,0,0.3,,chatGPT_3000
1342,EURUSD,8.56,136.74,10,90,17.2,-18.09,,,,,,,0,0,0.8,,user_best_Q3
13785,XAUUSD,2.01,134.2,74,62.2,5.79,-4.72,17.06,-19.67,,,1.5,3,1,1,0.2,,chatGPT_3000
274,XAUUSD,16.04,114.59,17,88.2,8.15,-3.81,,,,,,,0,0,0.4,,user_best_Q3
1341,EURUSD,6.95,107.62,10,90,13.97,-18.09,,,,,,,0,0,0.8,,user_best_Q3
1222,EURUSD,6.84,102.55,9,88.9,15.01,-17.55,,,,,,,0,0,0.8,,user_best_Q3
1879,USDJPY,2.65,94.49,15,86.7,11.67,-28.64,,,,,,,0,0,0.45,,user_best_Q3
1999,USDJPY,2.65,94.49,15,86.7,11.67,-28.64,,,,,,,0,0,0.45,,user_best_Q3
1106,EURUSD,90.6,80.64,4,75,27.18,-0.9,,,,,,,0,0,0.8,,user_best_Q3
1221,EURUSD,5.25,74.58,9,88.9,11.52,-17.55,,,,,,,0,0,0.8,,user_best_Q3
273,XAUUSD,24.98,68.33,10,90,7.91,-2.85,,,,,,,0,0,0.4,,user_best_Q3
300,XAUUSD,24.98,68.33,10,90,7.91,-2.85,,,,,,,0,0,0.4,,user_best_Q3
272,XAUUSD,8.68,62.98,11,81.8,7.91,-4.1,,,,,,,0,0,0.4,,user_best_Q3
299,XAUUSD,8.68,62.98,11,81.8,7.91,-4.1,,,,,,,0,0,0.4,,user_best_Q3
235,XAUUSD,23.05,56.45,12,91.7,5.36,-2.56,,,,,,,0,0,0.3,,user_best_Q3
262,XAUUSD,23.05,56.45,12,91.7,5.36,-2.56,,,,,,,0,0,0.3,,user_best_Q3
1058,EURUSD,464.5,46.35,5,80,11.61,-0.1,,,,,,,0,0,0.45,,user_best_Q3
1082,EURUSD,18.48,43.36,4,50,22.92,-1.24,,,,,,,0,0,0.6,,user_best_Q3
236,XAUUSD,3.95,36.13,10,80,6.05,-6.12,,,,,,,0,0,0.3,,user_best_Q3
263,XAUUSD,3.95,36.13,10,80,6.05,-6.12,,,,,,,0,0,0.3,,user_best_Q3
1431,GBPUSD,4.72,21.07,4,50,13.37,-2.83,,,,,,,0,0,0.75,,user_best_Q3
1034,EURUSD,31.75,19.68,5,80,5.08,-0.64,,,,,,,0,0,0.35,,user_best_Q3
1407,GBPUSD,20.4,17.46,4,75,6.12,-0.9,,,,,,,0,0,0.6,,user_best_Q3
1503,GBPUSD,6.74,15.84,4,50,9.3,-1.38,,,,,,,0,0,0.45,,user_best_Q3
1623,GBPUSD,3.6,12.8,4,50,8.86,-2.46,,,,,,,0,0,0.45,,user_best_Q3
1385,GBPUSD,3.7,12.64,4,50,8.66,-2.34,,,,,,,0,0,0.45,,user_best_Q3
1359,GBPUSD,20.8,11.88,4,75,4.16,-0.6,,,,,,,0,0,0.3,,user_best_Q3
1479,GBPUSD,10.92,10.71,4,50,5.89,-0.54,,,,,,,0,0,0.3,,user_best_Q3
1599,GBPUSD,8.67,9.9,4,50,5.59,-0.65,,,,,,,0,0,0.3,,user_best_Q3
1384,GBPUSD,3.3,7.36,5,80,2.64,-3.2,,,,,,,0,0,0.45,,user_best_Q3
1010,EURUSD,8.36,6.48,5,60,2.45,-0.44,,,,,,,0,0,0.25,,user_best_Q3
