Case,Symbol,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,RNDelta,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,CooldownSec
33,XAUUSD,50,6,12,3,0.22,1,TRUE,TRUE,0.4,0.5,0.55,1,2,0.8,50,5,0.5,0.5,1,FALSE,0.07,60,0
34,XAUUSD,55,6,12,3,0.22,1.5,TRUE,TRUE,0.37,0.5,0.55,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,0
35,XAUUSD,45,5,10,2,0.16,1,FALSE,TRUE,0.28,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,TRUE,0.04,2400,0
36,XAUUSD,50,6,12,3,0.16,1,FALSE,TRUE,0.28,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,TRUE,0.04,2400,0
37,XAUUSD,55,6,14,3,0.16,1,FALSE,TRUE,0.28,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,TRUE,0.04,2400,0
38,XAUUSD,60,7,16,4,0.16,1,FALSE,TRUE,0.28,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,TRUE,0.04,2400,0
39,XAUUSD,45,5,11,2,0.16,1,FALSE,TRUE,0.28,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,0
40,XAUUSD,50,6,12,3,0.16,1,FALSE,TRUE,0.28,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,0
41,XAUUSD,55,6,14,3,0.16,1,FALSE,TRUE,0.28,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,0
42,XAUUSD,60,7,16,4,0.16,1,FALSE,TRUE,0.28,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,0
43,XAUUSD,45,5,11,2,0.16,1,FALSE,TRUE,0.28,0.5,0.55,1.5,3,0.8,30,90,0.7,0.5,2,TRUE,0.04,2400,0
44,XAUUSD,50,6,12,3,0.16,1,FALSE,TRUE,0.28,0.5,0.55,1.5,3,0.8,30,90,0.7,0.5,2,TRUE,0.04,2400,0
45,XAUUSD,55,6,14,3,0.16,1,FALSE,TRUE,0.28,0.5,0.55,1.5,3,0.8,30,90,0.7,0.5,2,TRUE,0.04,2400,0
46,XAUUSD,60,7,16,4,0.16,1,FALSE,TRUE,0.28,0.5,0.55,1.5,3,0.8,30,90,0.7,0.5,2,TRUE,0.04,2400,0
47,XAUUSD,45,5,11,2,0.16,1,FALSE,TRUE,0.28,0.6,0.55,1.8,3.6,0.9,25,120,0.8,0.5,2,TRUE,0.04,2400,0
48,XAUUSD,50,6,12,3,0.16,1,FALSE,TRUE,0.28,0.6,0.55,1.8,3.6,0.9,25,120,0.8,0.5,2,TRUE,0.04,2400,0
49,XAUUSD,55,6,14,3,0.16,1,FALSE,TRUE,0.28,0.6,0.55,1.8,3.6,0.9,25,120,0.8,0.5,2,TRUE,0.04,2400,0
50,XAUUSD,60,7,16,4,0.16,1,FALSE,TRUE,0.28,0.6,0.55,1.8,3.6,0.9,25,120,0.8,0.5,2,TRUE,0.04,2400,0
