PresetID,Symbol,K_swing,N_bos,M_retest,EqTol_pips,UseRoundNumber,RNDelta_pips,UseKillzones,RiskPerTradePct,TrailMode,SL_Buffer_pips,BOSBuffer_pips,UsePendingRetest,RetestOffset_pips,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,UsePyramid,MaxAdds,AddSizeFactor,AddSpacing_pips,MaxOpenPositions,TimeStopMinutes,MinProgressR,Comment
36,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,40,1,2,0.6,35,3,5,0.5,"Sprint2 BotB: STEP0.30 | StartRR=0.8 | BE0.8/TP1=1.2/PC40 | Py(2,0.35,0.6)"
37,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,TRAIL-DoE: ATR14x1.5 start0.8
38,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,TRAIL-DoE: ATR14x2.0 start1.0
39,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1,2,0.8,50,0,0,0.6,40,1,5,0.5,TRAIL-DoE: ATR21x1.8 start1.0
40,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1,2,1,30,1,2,0.6,30,3,5,0.5,MAPPING-> original 228
41,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,50,1,2,0.6,45,3,5,0.5,MAPPING-> original 229
42,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,30,1,3,0.6,40,3,5,0.5,MAPPING-> original 230
43,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,40,1,3,0.5,40,4,5,0.5,MAPPING-> original 222
44,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,30,1,2,0.6,45,4,5,0.5,MAPPING-> original 223
45,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,9.9,2,0.8,0,1,2,0.5,35,3,5,0.5,MAPPING-> original 226
46,XAUUSD,50,6,3,20,1,35,1,0.5,1,50,2,0,7,1.2,2,0.8,40,1,2,0.6,35,3,5,0.5,MAPPING-> original 225
47,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1,2,0.8,40,1,2,0.6,30,3,5,0.5,MAPPING-> original 220
48,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,30,1,2,0.6,32,4,5,0.5,MAPPING-> original 232
49,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,55,1,2,0.6,42,4,5,0.5,MAPPING-> original 234
50,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,55,1,2,0.6,38,4,5,0.5,MAPPING-> original 236
51,XAUUSD,50,6,3,20,1,35,1,0.5,2,50,2,0,7,1.2,2,0.8,30,1,2,0.6,38,4,5,0.5,MAPPING-> original 239
600,EURUSD,40,7,3,2,0,3,0,0.5,1,12,0.15,1,1.5,1,3,0.8,50,1,0,0.75,4,1,5,0.5,
601,EURUSD,50,6,4,2.5,1,2,1,0.3,2,6,0.15,0,2,1.5,2,1,60,0,0,0.5,4,1,5,0.5,
602,EURUSD,60,8,3,3,0,3,0,0.3,1,8,0.2,1,2.5,1,2.5,0.8,40,1,0,0.75,3,1,5,0.5,
603,EURUSD,70,7,4,1.5,1,2,1,0.4,2,10,0.2,0,1.5,1.5,3,0.6,50,0,0,0.5,3,1,5,0.5,
604,EURUSD,40,6,3,2,0,3,0,0.5,1,12,0.2,1,2,1,2,0.8,60,1,0,0.75,5,1,5,0.5,
605,EURUSD,50,8,4,2.5,1,2,1,0.3,2,6,0.1,0,2,1.5,2,0.6,40,0,0,0.5,5,1,5,0.5,
606,EURUSD,60,7,3,3,0,3,0,0.3,1,8,0.1,1,2.5,1,2.5,1,50,1,0,0.75,4,1,5,0.5,
607,EURUSD,70,6,4,1.5,1,2,1,0.4,2,10,0.1,0,1.5,1.5,3,0.8,60,0,0,0.5,4,1,5,0.5,
608,EURUSD,40,8,3,2,0,3,0,0.5,1,12,0.15,1,2,1,2,1,40,1,0,0.75,3,1,5,0.5,
609,EURUSD,50,7,4,2.5,1,2.5,1,0.5,2,6,0.15,0,2.5,1.5,2.5,0.8,50,0,2,0.5,3,1,5,0.5,
610,EURUSD,60,6,3,3,0,3,0,0.3,1,8,0.15,1,1.5,1,3,0.6,60,1,2,0.75,5,1,5,0.5,
611,EURUSD,70,6,4,1.5,1,2.5,1,0.4,2,10,0.2,0,2,1.5,2,0.8,40,0,2,0.5,4,1,5,0.5,
612,EURUSD,40,8,3,2,0,3,0,0.4,1,12,0.2,1,2.5,1,2.5,0.6,50,1,2,0.75,4,1,5,0.5,
613,EURUSD,50,7,4,2.5,1,2.5,1,0.5,2,6,0.2,0,1.5,1.5,3,1,60,0,2,0.5,3,1,5,0.5,
614,EURUSD,60,6,3,3,0,3,0,0.3,1,8,0.1,1,2,1,2,0.8,40,1,2,0.75,3,1,5,0.5,
615,EURUSD,70,8,4,1.5,1,2.5,1,0.3,2,10,0.1,0,2,1.5,2,1,50,0,2,0.5,5,1,5,0.5,
616,EURUSD,40,7,3,2,0,3,0,0.4,1,12,0.1,1,2.5,1,2.5,0.8,60,1,2,0.75,5,1,5,0.5,
617,EURUSD,50,6,4,2.5,1,2.5,1,0.5,2,6,0.15,0,1.5,1.5,3,0.6,40,0,2,0.5,4,1,5,0.5,
618,EURUSD,60,8,3,3,0,3,0,0.3,1,8,0.15,1,2,1.2,2,0.8,50,1,2,0.75,4,1,5,0.5,
619,EURUSD,70,7,4,1.5,1,2.5,1,0.3,2,10,0.15,0,2.5,1.5,2.5,0.6,50,0,2,0.5,3,1,5,0.5,
620,EURUSD,40,6,3,2,0,3,0,0.4,1,12,0.2,1,1.5,1.2,3,1,60,1,2,0.75,3,1,5,0.5,
621,EURUSD,50,6,4,2.5,1,2.5,1,0.5,2,6,2,0,2,1.5,2,0.6,40,0,2,0.5,5,1,5,0.5,
622,EURUSD,60,8,3,3,0,3,0,0.5,1,8,1,1,2.5,1.2,2.5,1,50,1,1,0.75,4,1,5,0.5,
623,EURUSD,70,7,4,1.5,1,2.5,1,0.3,2,10,1,0,1.5,1.5,3,0.8,60,0,1,0.5,4,1,5,0.5,
