RunID,PresetID,Symbol,NetProfit,ProfitFactor,TotalTrades,WinTrades,LossTrades,WinRate,AvgWin,AvgLoss,LargestWin,LargestLoss,FilterBlocks_RN,FilterBlocks_KZ,FilterBlocks_Spr,K_swing,N_bos,M_retest,EqTol_pips,UseRoundNumber,RNDelta_pips,UseKillzones,RiskPerTradePct,TrailMode,SL_Buffer_pips,BOSBuffer_points,UsePendingRetest,RetestOffset_pips,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,UsePyramid,MaxAdds,AddSizeFactor,AddSpacing_pips,MaxOpenPositions,TimeStopMinutes,MinProgressR,Tag
0,25,XAUUSD,105.18,6.19,25,21,4,84,5.97,-5.07,15.51,-7.32,0,3842,0,50,6,3,2.2,1,4,1,0.5,0,5.5,1000,0,0.7,1,2,0.8,50,0,0,0.6,0,1,5,(non-string passed),
0,26,XAUUSD,112.55,6.43,27,22,5,81.5,6.06,-4.15,15.51,-7.32,0,3676,0,55,6,3,2.2,1,3.7,1,0.5,0,5.5,1500,0,0.7,1,2,0.8,50,0,0,0.6,0,1,5,(non-string passed),
0,27,XAUUSD,121.46,6.94,28,23,5,82.1,6.17,-4.09,15.51,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1,2,0.6,50,0,0,0.6,0,1,5,(non-string passed),
0,28,XAUUSD,121.46,6.94,28,23,5,82.1,6.17,-4.09,15.51,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1,2,0.8,50,0,0,0.6,0,1,5,(non-string passed),
0,29,XAUUSD,129.29,5.95,24,19,5,79.2,8.18,-5.22,19.73,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1,2,0.8,50,0,0,0.6,0,1,5,(non-string passed),
0,30,XAUUSD,113.57,6.54,28,23,5,82.1,5.83,-4.1,11.08,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1.2,2,0.8,40,0,0,0.6,0,1,5,(non-string passed),
0,31,XAUUSD,107,6.28,16,12,4,75,10.61,-5.07,25.33,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,40,0,0,0.6,0,1,5,(non-string passed),
0,32,XAUUSD,88.32,5.28,15,10,5,66.7,10.9,-4.13,29.92,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,9.9,2,1,0,0,0,0,0,1,5,(non-string passed),
0,33,XAUUSD,92.83,5.58,19,15,4,78.9,7.54,-5.07,14.96,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1.4,2,1,30,0,0,0,0,1,5,(non-string passed),
0,34,XAUUSD,103.01,6.02,22,17,5,77.3,7.27,-4.11,29.92,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1.5,2,0.8,30,0,0,0,0,1,5,(non-string passed),
0,35,XAUUSD,113.57,6.54,28,23,5,82.1,5.83,-4.1,11.08,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1.2,2,0.8,40,0,0,0,0,1,5,(non-string passed),
0,36,XAUUSD,163.25,3.36,35,23,12,65.7,10.11,-5.77,25.33,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,40,1,2,0.6,-1,3,5,(non-string passed),
0,37,XAUUSD,121.46,6.94,28,23,5,82.1,6.17,-4.09,15.51,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1,2,0.8,50,0,0,0.6,0,1,5,(non-string passed),
0,38,XAUUSD,108.76,6.37,24,20,4,83.3,6.45,-5.07,15.51,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1,2,0.8,50,0,0,0.6,0,1,5,(non-string passed),
0,39,XAUUSD,108.76,6.37,24,20,4,83.3,6.45,-5.07,15.51,-7.32,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1,2,0.8,50,0,0,0.6,0,1,5,(non-string passed),
0,40,XAUUSD,191,3.19,44,30,14,68.2,9.28,-6.24,23.67,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1,2,1,30,1,2,0.6,-1,3,5,(non-string passed),
0,41,XAUUSD,163.63,3.36,36,24,12,66.7,9.7,-5.77,23.35,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,50,1,2,0.6,0,3,5,(non-string passed),
0,42,XAUUSD,163.87,3.36,35,23,12,65.7,10.14,-5.77,31.32,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,30,1,3,0.6,0,3,5,(non-string passed),
0,43,XAUUSD,161.86,3.19,42,27,15,64.3,8.73,-4.93,25.33,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,40,1,3,0.5,0,4,5,(non-string passed),
0,44,XAUUSD,152.02,3.18,36,24,12,66.7,9.23,-5.8,31.14,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,30,1,2,0.6,0,4,5,(non-string passed),
0,45,XAUUSD,159.02,3.12,38,23,15,60.5,10.18,-5.01,39.15,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,9.9,2,0.8,0,1,2,0.5,-1,3,5,(non-string passed),
0,46,XAUUSD,128.78,2.85,47,34,13,72.3,5.83,-5.35,11.87,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,1,5,2000,0,0.7,1.2,2,0.8,40,1,2,0.6,-1,3,5,(non-string passed),
0,47,XAUUSD,171.43,3.52,41,29,12,70.7,8.26,-5.67,19.73,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1,2,0.8,40,1,2,0.6,-1,3,5,(non-string passed),
0,48,XAUUSD,174.06,3.5,37,25,12,67.6,9.75,-5.8,27.82,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,30,1,2,0.6,-1717986919,4,5,(non-string passed),
0,49,XAUUSD,174.95,3.51,37,25,12,67.6,9.78,-5.8,25.68,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,55,1,2,0.6,-858993460,4,5,(non-string passed),
0,50,XAUUSD,168.63,3.42,37,25,12,67.6,9.53,-5.8,25.41,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,55,1,2,0.6,1717986918,4,5,(non-string passed),
0,51,XAUUSD,167.62,3.41,38,26,12,68.4,9.12,-5.8,31.14,-15.83,0,3618,0,50,6,3,2,1,3.5,1,0.5,2,5,2000,0,0.7,1.2,2,0.8,30,1,2,0.6,1717986918,4,5,(non-string passed),
