PresetID,Symbol,NetProfit,ProfitFactor,TotalTrades,WinTrades,LossTrades,WinRate,AvgWin,AvgLoss,LargestWin,LargestLoss,MaxDrawdownPercent,MaxDrawdownMoney,SharpeRatio,RecoveryFactor,ExpectedPayoff,MaxConsecutiveLosses,MaxConsecutiveLossesCount,FilterBlocks_RN,FilterBlocks_KZ,FilterBlocks_Spr,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec,UseATRScaling,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,AddSpacing_ATR_Mult,TrailStep_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult
206,EURUSD,678.97,3.31,53,41,12,77.4,23.74,-24.53,61.19,-41.55,0.87,89.35,21.91,3.44,12.81,-89.35,4,2578,1350,0,60,6,12,3,0.00,20.00,true,true,false,0.00,130,0.40,0.00,1.3,2.5,0.8,40,150,0.70,0.00,2,false,0.00,0,true,1,14,1.80,0.00,1.20,false,0,0.00,0.60,0,true,14,0.65,0.30,1.05,0.00,0.17,0.38
201,EURUSD,120.01,1.45,30,19,11,63.3,20.24,-24.05,59.12,-35.51,1.82,184.84,8.22,0.50,4.00,-184.84,7,2214,1142,0,55,6,14,4,0.00,20.00,true,true,false,0.00,130,0.35,0.00,1.2,2.0,0.8,40,120,0.60,0.00,2,true,0.00,900,true,2,14,0.00,0.00,1.20,false,0,0.00,0.60,0,true,14,0.60,0.30,1.00,0.40,0.15,0.40
208,EURUSD,634.03,1.92,49,31,18,63.3,42.74,-38.38,132.12,-62.47,2.18,233.68,12.38,1.28,12.94,-136.91,4,2097,0,0,58,6,14,3,0.00,20.00,false,true,false,0.00,135,0.50,0.00,1.2,2.4,0.8,35,180,0.70,0.00,2,true,0.00,900,true,2,14,0.00,0.00,1.00,true,1,0.00,0.55,0,true,14,0.60,0.28,1.00,0.35,0.16,0.40
202,EURUSD,517.03,1.96,39,24,15,61.5,43.96,-35.87,127.51,-50.11,2.10,209.61,12.91,1.56,13.26,-196.90,4,2076,1099,0,60,6,14,3,0.00,20.00,true,true,false,0.00,125,0.50,0.00,1.4,3.0,0.9,35,180,0.70,0.00,2,false,0.00,0,true,1,14,1.50,0.00,1.00,false,0,0.00,0.65,0,true,14,0.70,0.35,1.20,0.00,0.18,0.45
203,EURUSD,837.44,1.45,65,31,34,47.7,87.28,-54.95,361.57,-74.40,7.01,796.63,6.70,0.61,12.88,-512.36,7,2628,0,2,65,7,16,3,0.00,20.00,false,true,false,0.00,120,0.65,0.00,1.6,3.8,1.0,30,240,0.80,0.00,3,true,0.00,1200,true,1,18,2.00,0.00,1.40,true,1,0.00,0.55,0,true,18,0.90,0.40,1.40,0.00,0.22,0.50
205,EURUSD,343.30,1.32,144,116,28,80.6,12.08,-37.79,90.72,-47.02,3.16,316.11,5.86,0.95,2.38,-277.67,9,0,3304,0,70,7,18,4,0.00,20.00,true,false,false,0.00,110,0.45,0.00,1.5,3.0,0.8,25,240,0.70,0.00,2,false,0.00,0,true,2,20,2.20,0.00,1.60,false,0,0.00,0.60,0,true,20,0.75,0.30,1.10,0.00,0.20,0.42
